rank,moving,country,actual points,moving points,former points,former rank
37 ,(↓1),  Hungary,"1,493.33",(+1.13),"1,492",36
38 ,(↓1),  Algeria,"1,491.49",(+2.39),"1,489",37
,,,,,,
39 ,(↓4),  Czech Republic,"1,490.61",(-1.60),"1,492",35
40 ,(↓1),  Egypt,"1,490.34",(+3.90),"1,486",39
41 ,(↑3),  Ecuador,"1,477.27",(+12.88),"1,464",44
42 ,(↓2),  Scotland,"1,476.94",(-2.59),"1,480",40
43 ,(↓1),  Norway,"1,475.05",(+2.01),"1,473",42
44 ,(↑1),  Türkiye,"1,465.38",(+5.24),"1,460",45
45 ,(↑1),  Mali,"1,446.77",(-2.08),"1,449",46
46 ,(↑1),  Paraguay,"1,445.06",(-3.71),"1,449",47
47 ,(↑1),  Côte d'Ivoire,"1,441.49",(-1.57),"1,443",48
48 ,(↑3),  Saudi Arabia,"1,439.62",(+1.84),"1,438",51
49 ,,  Republic of Ireland,"1,438.58",(-1.61),"1,440",49
50 ,(↑4),  Burkina Faso,"1,434.81",(+2.56),"1,432",54
201 ,,  Eritrea,855.56 ,,856,200
202 ,,  Aruba,855.37 ,,855,201
203 ,,  Bahamas,854.80 ,,855,202
204 ,,  Somalia,854.72 ,,855,203
205 ,,  Guam,838.33 ,,838,205
206 ,,  Turks and Caicos Islands,832.00 ,,832,206
207 ,,  Sri Lanka,825.25 ,,825,207
208 ,,  US Virgin Islands,823.97 ,,824,208
209 ,,  British Virgin Islands,809.32 ,,809,209
210 ,,  Anguilla,790.74 ,,791,210
211 ,,  San Marino,761.57,(-0.65),762,211
51 ,(↑1),  Greece,"1,433.60",(-4.00),"1,438",52
52 ,(↑1),  Romania,"1,432.64",(-2.04),"1,435",53
53 ,(↓12),  Canada,"1,431.65",(-43.35),"1,475",41
54 ,(↑1),  Slovakia,"1,425.58",(-0.01),"1,426",55
55 ,(↑2),  Venezuela,"1,406.10",(+1.73),"1,404",57
56 ,,  Finland,"1,405.70",(+0.10),"1,406",56
57 ,,  Bosnia and Herzegovina,"1,403.51 ",,"1,404",58
58 ,(↑3),  Ghana,"1,400.02",(+7.02),"1,393",61
59 ,,  Northern Ireland,"1,396.55 ",,"1,397",59
60 ,(↓10),  Qatar,"1,392.71",(-47.18),"1,440",50
61 ,(↓1),  Panama,"1,391.70",(-1.58),"1,393",60
62 ,(↑1),  Slovenia,"1,389.07",(+5.03),"1,384",63
,,,,,,
63 ,(↓1),  Iceland,"1,380.36",(-4.05),"1,384",62
64 ,,  Jamaica,"1,379.30",(+0.44),"1,379",64
65 ,(↑1),  Albania,"1,353.43",(-0.68),"1,354",66
66 ,(↓1),  North Macedonia,"1,353.17",(-5.34),"1,359",65
67 ,,  South Africa,"1,350.35",(+0.76),"1,350",67
68 ,,  Iraq,"1,342.39",(-0.62),"1,343",68
69 ,,  Montenegro,"1,339.15",(-1.88),"1,341",69
70 ,,  United Arab Emirates,"1,338.48",(+0.91),"1,338",70
71 ,(↑1),  Bulgaria,"1,336.71",(+1.35),"1,335",72
72 ,,  Cabo Verde,"1,336.05 ",,"1,336",71
73 ,,  Congo DR,"1,333.92 ",,"1,334",73
74 ,,  El Salvador,"1,326.86",(-3.65),"1,331",74
75 ,,  Oman,"1,321.24",(+0.95),"1,320",75
,,,,,,
76 ,,  Israel,"1,315.67",(-0.88),"1,317",76
77 ,,  Uzbekistan,"1,312.65",(+2.67),"1,310",77
78 ,,  Georgia,"1,305.98",(-1.36),"1,307",78
79 ,(↑2),  Gabon,"1,305.47",(+3.63),"1,302",81
80 ,,  China PR,"1,305.06 ",,"1,305",79
81 ,(↓1),  Honduras,"1,300.79",(-1.19),"1,302",80
82 ,,  Bolivia,"1,294.96",(-1.32),"1,296",82
83 ,,  Guinea,"1,290.47 ",,"1,290",83
84 ,,  Jordan,"1,289.17",(-0.82),"1,290",84
151 ,,  Indonesia,"1,033.90 ",,"1,034",152
85 ,,  Bahrain,"1,280.27",(-0.37),"1,281",85
86 ,,  Curaçao,"1,278.64 ",,"1,279",86
87 ,,  Haiti,"1,269.07 ",,"1,269",87
88 ,,  Zambia,"1,265.15",(-2.26),"1,267",88
,,,,,,
89 ,,  Uganda,"1,260.69 ",,"1,261",89
90 ,,  Syria,"1,250.03",(-5.89),"1,256",90
152 ,(↓1),  Andorra,"1,031.13",(-4.07),"1,035",151
153 ,,  Dominican Republic,"1,028.88",(-2.98),"1,032",153
154 ,,  Maldives,"1,026.09 ",,"1,026",154
155 ,,  Yemen,"1,023.52 ",,"1,024",155
156 ,,  Afghanistan,"1,023.04 ",,"1,023",156
157 ,,  Chinese Taipei,"1,017.78 ",,"1,018",157
158 ,,  Myanmar,"1,007.89 ",,"1,008",158
159 ,,  Papua New Guinea,"1,007.46 ",,"1,007",159
91 ,,  Benin,"1,247.47 ",,"1,247",91
92 ,,  Luxembourg,"1,245.35",(+1.55),"1,244",92
93 ,,  Palestine,"1,233.72 ",,"1,234",94
94 ,(↓1),  Armenia,"1,231.76",(-2.17),"1,234",93
160 ,,  Singapore,"1,003.50 ",,"1,004",160
161 ,,  New Caledonia,995.58 ,,996,161
162 ,,  Tahiti,995.11 ,,995,162
95 ,,  Kyrgyz Republic,"1,230.22 ",,"1,230",95
96 ,,  Vietnam,"1,226.65 ",,"1,227",96
97 ,,  Belarus,"1,221.67",(+0.61),"1,221",97
98 ,,  Equatorial Guinea,"1,215.66 ",,"1,216",98
101 ,,  Kenya,"1,202.26 ",,"1,202",101
,,,,,,
99 ,,  Congo,"1,208.79 ",,"1,209",100
102 ,,  Madagascar,"1,200.74 ",,"1,201",102
103 ,,  Mauritania,"1,197.58 ",,"1,198",103
104 ,,  Trinidad and Tobago,"1,195.29 ",,"1,195",104
105 ,,  New Zealand,"1,193.98 ",,"1,194",105
163 ,,  Fiji,989.43 ,,989,163
164 ,,  Vanuatu,985.62 ,,986,164
165 ,,  South Sudan,983.99 ,,984,165
166 ,,  Barbados,982.27 ,,982,166
167 ,,  Cuba,981.63,(+2.98),979,167
100 ,(↓1),  Lebanon,"1,208.47",(-3.24),"1,212",99
106 ,,  India,"1,192.09 ",,"1,192",106
168 ,,  Malta,978.95,(+1.03),978,168
107 ,,  Kosovo,"1,187.04",(+0.03),"1,187",107
169 ,,  Bermuda,977.47 ,,977,169
108 ,,  Tajikistan,"1,187.03",(+1.33),"1,186",108
109 ,(↑1),  Cyprus,"1,185.17",(+1.35),"1,184",110
110 ,,  Estonia,"1,184.64 ",,"1,185",109
111 ,,  Thailand,"1,174.92 ",,"1,175",111
170 ,,  Puerto Rico,974.32 ,,974,170
171 ,,  Guyana,968.74 ,,969,171
172 ,,  St. Lucia,966.31,(+0.65),966,172
173 ,,  Grenada,963.72 ,,964,173
174 ,,  Moldova,958.88,(-2.35),961,174
112 ,,  Korea DPR,"1,169.96 ",,"1,170",112
,,,,,,
113 ,,  Namibia,"1,164.13 ",,"1,164",115
114 ,,  Mozambique,"1,163.57",(-1.65),"1,165",114
175 ,,  Nepal,956.94,(+2.08),955,175
,,,,,,
176 ,,  Belize,950.88 ,,951,176
177 ,,  Cambodia,948.62 ,,949,177
115 ,(↓2),  Kazakhstan,"1,163.10",(-3.53),"1,167",113
116 ,,  Sierra Leone,"1,160.31 ",,"1,160",117
117 ,(↑2),  Angola,"1,158.82",(+2.92),"1,156",119
118 ,(↓2),  Guinea-Bissau,"1,158.77",(-1.94),"1,161",116
119 ,(↓1),  Guatemala,"1,157.56",(+0.86),"1,157",118
178 ,,  St. Vincent and the Grenadines,945.25 ,,945,178
179 ,,  Montserrat,940.78 ,,941,179
180 ,,  Mauritius,932.02 ,,932,180
181 ,,  Chad,930.22 ,,930,181
120 ,,  Libya,"1,154.25 ",,"1,154",120
121 ,(↑2),  Azerbaijan,"1,151.81",(+5.09),"1,147",123
182 ,,  Macau,922.10 ,,922,182
183 ,,  Mongolia,913.55 ,,914,183
122 ,(↓1),  Niger,"1,149.94",(-2.86),"1,153",121
123 ,(↓1),  Faroe Islands,"1,146.32",(-0.85),"1,147",122
184 ,,  Dominica,911.51 ,,912,184
124 ,,  Malawi,"1,144.97 ",,"1,145",124
125 ,,  Zimbabwe,"1,138.56 ",,"1,139",125
,,,,,,
185 ,,  Bhutan,910.96 ,,911,185
186 ,,  São Tomé and Príncipe,908.18 ,,908,186
187 ,,  Laos,905.51 ,,906,187
188 ,,  American Samoa,900.27 ,,900,188
,,,,,,
126 ,,  Gambia,"1,137.57",(+0.10),"1,137",126
127 ,,  Togo,"1,128.92 ",,"1,129",127
128 ,,  Sudan,"1,124.52",(-2.82),"1,127",128
129 ,,  Comoros,"1,123.18 ",,"1,123",129
130 ,,  Tanzania,"1,119.89 ",,"1,120",130
189 ,,  Cook Islands,899.33 ,,899,189
190 ,,  Brunei Darussalam,898.02,(-0.39),898,190
191 ,,  Samoa,894.26 ,,894,191
192 ,,  Bangladesh,884.45 ,,884,192
131 ,,  Antigua and Barbuda,"1,117.01 ",,"1,117",131
132 ,,  Central African Republic,"1,116.97 ",,"1,117",132
133 ,,  Philippines,"1,115.13 ",,"1,115",133
134 ,,  Latvia,"1,114.21 ",,"1,114",134
135 ,,  Turkmenistan,"1,100.47 ",,"1,100",135
193 ,,  Djibouti,875.05 ,,875,193
194 ,,  Cayman Islands,865.72 ,,866,195
195 ,(↓1),  Pakistan,864.73,(-2.08),867,194
196 ,,  Tonga,861.81 ,,862,197
197 ,(↑1),  Timor-Leste,860.45,(+0.39),860,198
198 ,(↓2),  Liechtenstein,859.84,(-2.55),862,196
136 ,(↑1),  Rwanda,"1,096.48",(+2.82),"1,094",137
137 ,,  Solomon Islands,"1,095.70 ",,"1,096",136
138 ,,  Ethiopia,"1,091.19 ",,"1,091",138
,,,,,,
139 ,,  Suriname,"1,077.30 ",,"1,077",139
140 ,,  St. Kitts and Nevis,"1,076.91 ",,"1,077",140
199 ,,  Seychelles,859.56 ,,860,199
200 ,(↑4),  Gibraltar,858.04,(+5.88),852,204
141 ,,  Burundi,"1,075.28",(-0.98),"1,076",141
142 ,,  Nicaragua,"1,072.71",(+0.88),"1,072",142
143 ,,  Eswatini,"1,070.89 ",,"1,071",143
144 ,,  Lithuania,"1,069.75 ",,"1,070",144
145 ,,  Hong Kong,"1,062.39 ",,"1,062",145
146 ,,  Malaysia,"1,062.32 ",,"1,062",146
147 ,,  Lesotho,"1,061.40 ",,"1,061",147
148 ,(↑1),  Kuwait,"1,056.65",(+3.24),"1,053",149
149 ,(↓1),  Botswana,"1,054.43",(-2.03),"1,056",148
150 ,,  Liberia,"1,049.66 ",,"1,050",150
